SKLYPO_ID,drenazo_plotu_proc
550100020027,39.16
550100020028,0.05
550100020029,100.0
550100020030,70.36
550100020031,50.25
550100020032,0.0
550100020035,100.0
550100020036,1.12
550100020037,99.9
550100020038,88.12
550100020039,98.53
550100020040,100.0
550100020041,97.93
550100020042,100.0
550100020043,100.0
550100020044,0.0
550100020045,38.69
550100020046,100.0
550100020048,0.0
550100020049,0.1
550100020050,100.0
550100020051,93.51
550100020052,0.0
550100020053,0.0
550100020054,100.0
550100020055,99.96
550100020056,99.05
550100020057,100.0
550100020058,86.74
550100020059,16.2
550100020060,100.0
550100020061,100.0
550100020062,100.0
550100020063,7.01
550100020064,100.0
550100020065,100.0
550100020066,14.71
550100020067,100.0
550100020068,67.5
550100020070,12.68
550100020072,96.33
550100020073,100.0
550100020075,2.54
550100020076,0.16
550100020077,0.0
550100020078,0.0
550100020079,70.66
550100020080,100.0
550100020081,100.0
550100020082,64.38
550100020083,62.07
550100020084,100.0
550100020085,0.0
550100020086,100.0
550100020087,100.0
550100020088,100.0
550100020089,100.0
550100020090,86.04
550100020091,0.03
550100020092,0.0
550100020093,100.0
550100020094,100.0
550100020095,100.0
550100020096,0.0
550100020097,0.0
550100020098,100.0
550100020099,0.37
550100020100,100.0
550100020101,99.61
550100020102,19.9
550100020103,100.0
550100020104,0.0
550100020105,100.0
550100020106,26.14
550100020107,100.0
550100020108,100.0
550100020109,100.0
550100020110,100.0
550100020111,13.0
550100020112,100.0
550100020113,28.82
550100020114,100.0
550100020115,99.47
550100020116,3.06
550100020117,0.0
550100020118,0.0
550100020119,79.93
550100020120,31.49
550100020121,0.0
550100020122,92.89
550100020123,9.09
550100020124,100.0
550100020125,100.0
550100020126,100.0
550100020127,100.0
550100020128,39.16
550100020129,0.0
550100020130,0.2
550100020166,100.0
550100020167,100.0
550100020168,100.0
550100020169,100.0
550100020170,99.47
550100020171,45.88
550100020172,100.0
550100020173,84.36
550100020174,100.0
550100020175,72.44
550100020176,100.0
550100020177,100.0
550100020178,100.0
550100020179,0.01
550100020180,0.0
550100020181,100.0
550100020182,0.0
550100020183,100.0
550100020184,100.0
550100020185,99.86
550100020186,100.0
550100020187,99.99
550100020188,19.85
550100020189,0.0
550100020190,60.61
550100020191,27.67
550100020192,100.0
550100020193,42.34
550100020194,93.2
550100020195,0.0
550100020196,0.0
550100020197,0.0
550100020198,100.0
550100020199,99.7
550100020200,1.06
550100020201,100.0
550100020202,100.0
550100020203,64.63
550100020204,100.0
550100020205,99.79
550100020206,0.0
550100020207,0.0
550100020208,0.0
550100020209,99.82
550100020210,100.0
550100020211,99.48
550100020212,100.0
550100020213,99.92
550100020214,1.41
550100020215,100.0
550100020216,100.0
550100020217,0.0
550100020218,9.7
550100020219,28.85
550100020220,86.13
550100020221,94.16
550100020222,100.0
550100030001,99.67
550100030003,100.0
550100030004,0.34
550100030005,100.0
550100030006,99.77
550100030007,86.69
550100030008,0.0
550100030009,83.43
550100030010,5.33
550100030011,89.56
550100030012,100.0
550100030013,41.14
550100030014,100.0
550100030016,100.0
550100030017,3.08
550100030018,100.0
550100030019,100.0
550100030020,100.0
